,Name,Primary Attribute,Roles,Herald Picks,Herald Wins,Herald Win Rate,Guardian Picks,Guardian Wins,Guardian Win Rate,Crusader Picks,Crusader Wins,Crusader Win Rate,Archon Picks,Archon Wins,Archon Win Rate,Legend Picks,Legend Wins,Legend Win Rate,Ancient Picks,Ancient Wins,Ancient Win Rate,Divine Picks,Divine Wins,Divine Win Rate,Immortal Picks,Immortal Wins,Immortal Win Rate
0,Abaddon,all,"Support, Carry, Durable",960,489,50.94,6628,3367,50.8,15031,7493,49.85,16921,8417,49.74,10196,4998,49.02,4264,2147,50.35,1804,897,49.72,534,268,50.19
1,Alchemist,str,"Carry, Support, Durable, Disabler, Initiator, Nuker",1086,501,46.13,6924,3157,45.6,14956,6909,46.2,16200,7593,46.87,10314,5006,48.54,4693,2297,48.95,2335,1138,48.74,1068,524,49.06
2,Ancient Apparition,int,"Support, Disabler, Nuker",1882,932,49.52,14270,7597,53.24,34959,18865,53.96,39806,21209,53.28,24404,13106,53.7,10979,5880,53.56,5160,2725,52.81,2079,1100,52.91
3,Anti-Mage,agi,"Carry, Escape, Nuker",3373,1729,51.26,23505,11859,50.45,53679,26738,49.81,56091,27806,49.57,32105,15889,49.49,13776,6664,48.37,5969,2876,48.18,2164,1034,47.78
4,Arc Warden,agi,"Carry, Escape, Nuker",1529,756,49.44,8287,4161,50.21,15769,8128,51.54,14658,7623,52.01,7874,4048,51.41,3445,1801,52.28,1569,834,53.15,563,310,55.06
5,Axe,str,"Initiator, Durable, Disabler, Carry",4509,2525,56.0,31516,17136,54.37,74049,39679,53.58,78909,41797,52.97,46148,23978,51.96,20082,10328,51.43,9086,4598,50.61,3277,1599,48.79
6,Bane,all,"Support, Disabler, Nuker, Durable",565,255,45.13,3556,1689,47.5,8321,3986,47.9,9549,4741,49.65,6340,3236,51.04,3103,1593,51.34,1504,781,51.93,776,396,51.03
7,Batrider,all,"Initiator, Disabler, Escape",392,175,44.64,2683,1083,40.37,6922,2950,42.62,8891,3767,42.37,7042,3085,43.81,3790,1707,45.04,2168,1009,46.54,1850,917,49.57
8,Beastmaster,all,"Initiator, Disabler, Durable, Nuker",347,168,48.41,2312,1080,46.71,5754,2624,45.6,7316,3322,45.41,5331,2411,45.23,2861,1303,45.54,1715,793,46.24,1385,692,49.96
9,Bloodseeker,agi,"Carry, Disabler, Nuker, Initiator",3222,1622,50.34,18094,9219,50.95,38712,20143,52.03,42878,22128,51.61,28650,14859,51.86,13805,7084,51.31,6821,3508,51.43,3667,1882,51.32
10,Bounty Hunter,agi,"Escape, Nuker",2899,1335,46.05,16281,7611,46.75,32736,15433,47.14,32750,15840,48.37,19634,9541,48.59,8973,4427,49.34,4463,2176,48.76,2413,1224,50.73
11,Brewmaster,all,"Carry, Initiator, Durable, Disabler, Nuker",246,112,45.53,1463,677,46.27,3430,1596,46.53,4204,2079,49.45,3231,1613,49.92,1925,963,50.03,1127,603,53.5,732,398,54.37
12,Bristleback,str,"Carry, Durable, Initiator, Nuker",4494,2459,54.72,25325,13337,52.66,42979,21408,49.81,34317,16605,48.39,14997,7012,46.76,4714,2197,46.61,1641,762,46.44,336,163,48.51
13,Broodmother,all,"Carry, Pusher, Escape, Nuker",762,356,46.72,4520,2009,44.45,10219,4481,43.85,12766,5666,44.38,9341,4258,45.58,5049,2296,45.47,2812,1306,46.44,2159,985,45.62
14,Centaur Warrunner,str,"Durable, Initiator, Disabler, Nuker, Escape",1013,516,50.94,7204,3488,48.42,16756,8199,48.93,16900,8064,47.72,9110,4334,47.57,3593,1719,47.84,1437,682,47.46,400,195,48.75
15,Chaos Knight,str,"Carry, Disabler, Durable, Pusher, Initiator",2136,1104,51.69,13671,7091,51.87,25221,12885,51.09,21787,11409,52.37,10744,5598,52.1,4658,2385,51.2,2061,1081,52.45,759,390,51.38
16,Chen,all,"Support, Pusher",284,127,44.72,1451,677,46.66,3221,1493,46.35,3600,1721,47.81,2479,1230,49.62,1538,804,52.28,938,470,50.11,797,409,51.32
17,Clinkz,agi,"Carry, Escape, Pusher",2805,1441,51.37,16427,8487,51.66,35825,18949,52.89,42580,22667,53.23,29316,15670,53.45,14695,7784,52.97,7667,4063,52.99,4072,2139,52.53
18,Clockwerk,all,"Initiator, Disabler, Durable, Nuker",865,434,50.17,6439,3136,48.7,18226,8885,48.75,24391,11825,48.48,18414,8953,48.62,9111,4372,47.99,4524,2221,49.09,2420,1231,50.87
19,Crystal Maiden,int,"Support, Disabler, Nuker",4394,2437,55.46,27928,14808,53.02,59668,31224,52.33,59962,30838,51.43,34473,17503,50.77,15003,7459,49.72,6629,3286,49.57,2467,1227,49.74
